Happiness Rank,Country,Happiness Score,GDP per Capita,Health (Life Expectancy),Freedom,Trust (Government Corruption),Year
46,Kosovo,6.1,0.882,0.758,0.489,0.006,2019
47,Argentina,6.086,1.092,0.881,0.471,0.05,2019
48,Romania,6.07,1.162,0.825,0.462,0.005,2019
49,Cyprus,6.046,1.263,1.042,0.406,0.041,2019
50,Ecuador,6.028,0.912,0.868,0.498,0.087,2019
51,Kuwait,6.021,1.5,0.808,0.493,0.097,2019
52,Thailand,6.008,1.05,0.828,0.557,0.028,2019
53,Latvia,5.94,1.187,0.812,0.264,0.064,2019
54,South Korea,5.895,1.301,1.036,0.159,0.056,2019
55,Estonia,5.893,1.237,0.874,0.495,0.161,2019
56,Jamaica,5.89,0.831,0.831,0.49,0.028,2019
57,Mauritius,5.888,1.12,0.798,0.498,0.06,2019
58,Japan,5.886,1.327,1.088,0.445,0.14,2019
59,Honduras,5.86,0.642,0.828,0.507,0.078,2019
60,Kazakhstan,5.809,1.173,0.729,0.41,0.096,2019
61,Bolivia,5.779,0.776,0.706,0.511,0.064,2019
62,Hungary,5.758,1.201,0.828,0.199,0.02,2019
63,Paraguay,5.743,0.855,0.777,0.514,0.08,2019
64,Northern Cyprus,5.718,1.263,1.042,0.417,0.162,2019
65,Peru,5.697,0.96,0.854,0.455,0.027,2019
66,Portugal,5.693,1.221,0.999,0.508,0.025,2019
67,Pakistan,5.653,0.677,0.535,0.313,0.098,2019
68,Russia,5.648,1.183,0.726,0.334,0.031,2019
69,Philippines,5.631,0.807,0.657,0.558,0.107,2019
70,Serbia,5.603,1.004,0.854,0.282,0.039,2019
71,Moldova,5.529,0.685,0.739,0.245,0,2019
72,Libya,5.525,1.044,0.673,0.416,0.152,2019
73,Montenegro,5.523,1.051,0.871,0.197,0.08,2019
74,Tajikistan,5.467,0.493,0.718,0.389,0.144,2019
75,Croatia,5.432,1.155,0.914,0.296,0.022,2019
76,Hong Kong,5.43,1.438,1.122,0.44,0.287,2019
77,Dominican Republic,5.425,1.015,0.779,0.497,0.101,2019
78,Bosnia and Herzegovina,5.386,0.945,0.845,0.212,0.006,2019
79,Turkey,5.373,1.183,0.808,0.195,0.106,2019
80,Malaysia,5.339,1.221,0.828,0.508,0.024,2019
81,Belarus,5.323,1.067,0.789,0.235,0.142,2019
82,Greece,5.287,1.181,0.999,0.067,0.034,2019
83,Mongolia,5.285,0.948,0.667,0.317,0.038,2019
84,North Macedonia,5.274,0.983,0.838,0.345,0.034,2019
85,Nigeria,5.265,0.696,0.245,0.426,0.041,2019
86,Kyrgyzstan,5.261,0.551,0.723,0.508,0.023,2019
87,Turkmenistan,5.247,1.052,0.657,0.394,0.028,2019
88,Algeria,5.211,1.002,0.785,0.086,0.114,2019
89,Morocco,5.208,0.801,0.782,0.418,0.076,2019
90,Azerbaijan,5.208,1.043,0.769,0.351,0.182,2019
91,Lebanon,5.197,0.987,0.815,0.216,0.027,2019
92,Indonesia,5.192,0.931,0.66,0.491,0.028,2019
93,China,5.191,1.029,0.893,0.521,0.1,2019
94,Vietnam,5.175,0.741,0.851,0.543,0.073,2019
95,Bhutan,5.082,0.813,0.604,0.457,0.167,2019
96,Cameroon,5.044,0.549,0.331,0.381,0.037,2019
97,Bulgaria,5.011,1.092,0.815,0.311,0.004,2019
98,Ghana,4.996,0.611,0.486,0.381,0.04,2019
99,Ivory Coast,4.944,0.569,0.232,0.352,0.09,2019
100,Nepal,4.913,0.446,0.677,0.439,0.089,2019
101,Jordan,4.906,0.837,0.815,0.383,0.13,2019
102,Benin,4.883,0.393,0.397,0.349,0.082,2019
103,Congo (Brazzaville),4.812,0.673,0.508,0.372,0.093,2019
104,Gabon,4.799,1.057,0.571,0.295,0.055,2019
105,Laos,4.796,0.764,0.551,0.547,0.164,2019
106,South Africa,4.722,0.96,0.469,0.389,0.055,2019
107,Albania,4.719,0.947,0.874,0.383,0.027,2019
108,Venezuela,4.707,0.96,0.805,0.154,0.047,2019
109,Cambodia,4.7,0.574,0.637,0.609,0.062,2019
110,Palestinian Territories,4.696,0.657,0.672,0.225,0.066,2019
111,Senegal,4.681,0.45,0.571,0.292,0.072,2019
112,Somalia,4.668,0,0.268,0.559,0.27,2019
113,Namibia,4.639,0.879,0.477,0.401,0.056,2019
114,Niger,4.628,0.138,0.366,0.318,0.102,2019
115,Burkina Faso,4.587,0.331,0.38,0.255,0.113,2019
116,Armenia,4.559,0.85,0.815,0.283,0.064,2019
117,Iran,4.548,1.1,0.785,0.305,0.125,2019
118,Guinea,4.534,0.38,0.375,0.332,0.086,2019
119,Georgia,4.519,0.886,0.752,0.346,0.164,2019
120,Gambia,4.516,0.308,0.428,0.382,0.167,2019
121,Kenya,4.509,0.512,0.581,0.431,0.053,2019
122,Mauritania,4.49,0.57,0.489,0.066,0.088,2019
123,Mozambique,4.466,0.204,0.39,0.494,0.138,2019
124,Tunisia,4.461,0.921,0.815,0.167,0.055,2019
125,Bangladesh,4.456,0.562,0.723,0.527,0.143,2019
126,Iraq,4.437,1.043,0.574,0.241,0.089,2019
127,Congo (Kinshasa),4.418,0.094,0.357,0.269,0.053,2019
128,Mali,4.39,0.385,0.308,0.327,0.052,2019
129,Sierra Leone,4.374,0.268,0.242,0.309,0.045,2019
130,Sri Lanka,4.366,0.949,0.831,0.47,0.047,2019
131,Myanmar,4.36,0.71,0.555,0.525,0.172,2019
132,Chad,4.35,0.35,0.192,0.174,0.078,2019
133,Ukraine,4.332,0.82,0.739,0.178,0.01,2019
134,Ethiopia,4.286,0.336,0.532,0.344,0.1,2019
135,Swaziland,4.212,0.811,0,0.313,0.135,2019
136,Uganda,4.189,0.332,0.443,0.356,0.06,2019
137,Egypt,4.166,0.913,0.644,0.241,0.067,2019
138,Zambia,4.107,0.578,0.426,0.431,0.087,2019
139,Togo,4.085,0.275,0.41,0.293,0.085,2019
140,India,4.015,0.755,0.588,0.498,0.085,2019
141,Liberia,3.975,0.073,0.443,0.37,0.033,2019
142,Comoros,3.973,0.274,0.505,0.142,0.078,2019
143,Madagascar,3.933,0.274,0.555,0.148,0.041,2019
144,Lesotho,3.802,0.489,0.168,0.359,0.093,2019
145,Burundi,3.775,0.046,0.38,0.22,0.18,2019
146,Zimbabwe,3.663,0.366,0.433,0.361,0.089,2019
147,Haiti,3.597,0.323,0.449,0.026,0.11,2019
148,Botswana,3.488,1.041,0.538,0.455,0.1,2019
149,Syria,3.462,0.619,0.44,0.013,0.141,2019
150,Malawi,3.41,0.191,0.495,0.443,0.089,2019
151,Yemen,3.38,0.287,0.463,0.143,0.077,2019
152,Rwanda,3.334,0.359,0.614,0.555,0.411,2019
153,Tanzania,3.231,0.476,0.499,0.417,0.147,2019
154,Afghanistan,3.203,0.35,0.361,0,0.025,2019
155,Central African Republic,3.083,0.026,0.105,0.225,0.035,2019
156,South Sudan,2.853,0.306,0.295,0.01,0.091,2019
