Country,Happiness Rank,Happiness Score,GDP per Capita, Health (Life Expectancy),Freedom,Trust (Government Corruption),Year
Somaliland Region,97,5.057,0.25558,0.33108,0.3913,0.36794,2016
Tunisia,98,5.045,0.97724,0.59577,0.23553,0.0817,2016
Greece,99,5.033,1.24886,0.80029,0.05822,0.04127,2016
Tajikistan,100,4.996,0.48835,0.53119,0.43408,0.13509,2016
Mongolia,101,4.907,0.98853,0.55469,0.35972,0.03285,2016
Laos,102,4.876,0.68042,0.38291,0.52168,0.22423,2016
Nigeria,103,4.875,0.75216,0.05108,0.27854,0.0305,2016
Honduras,104,4.871,0.69429,0.58383,0.26755,0.06906,2016
Iran,105,4.813,1.11758,0.64232,0.22544,0.0557,2016
Zambia,106,4.795,0.61202,0.23573,0.42662,0.11479,2016
Nepal,107,4.793,0.44626,0.50073,0.37012,0.07008,2016
Palestinian Territories,108,4.754,0.67024,0.56844,0.17744,0.10613,2016
Albania,109,4.655,0.9553,0.73007,0.31866,0.05301,2016
Bangladesh,110,4.643,0.54177,0.52989,0.39778,0.12583,2016
Sierra Leone,111,4.635,0.36485,0,0.30685,0.08196,2016
Iraq,112,4.575,1.07474,0.51076,0.24856,0.13636,2016
Namibia,113,4.574,0.93287,0.34745,0.48614,0.10398,2016
Cameroon,114,4.513,0.52497,0.12698,0.42736,0.06126,2016
Ethiopia,115,4.508,0.29283,0.34578,0.36703,0.1717,2016
South Africa,116,4.459,1.02416,0.18611,0.42483,0.08415,2016
Sri Lanka,117,4.415,0.97318,0.62007,0.50817,0.07964,2016
India,118,4.404,0.74036,0.45091,0.40285,0.08722,2016
Myanmar,119,4.395,0.34112,0.3988,0.42692,0.20243,2016
Egypt,120,4.362,0.95395,0.52116,0.18847,0.10393,2016
Armenia,121,4.36,0.86086,0.64083,0.14037,0.03616,2016
Kenya,122,4.356,0.52267,0.30147,0.40576,0.06686,2016
Ukraine,123,4.324,0.87287,0.58628,0.12859,0.01829,2016
Ghana,124,4.276,0.63107,0.29681,0.40973,0.0326,2016
Congo (Kinshasa),125,4.272,0.05661,0.188,0.15602,0.06075,2016
Georgia,126,4.252,0.83792,0.64035,0.32461,0.3188,2016
Congo (Brazzaville),127,4.236,0.77109,0.28212,0.37938,0.09753,2016
Senegal,128,4.219,0.44314,0.40457,0.31056,0.11681,2016
Bulgaria,129,4.217,1.11306,0.67806,0.21219,0.00615,2016
Mauritania,130,4.201,0.61391,0.28639,0.1268,0.17955,2016
Zimbabwe,131,4.193,0.35041,0.1595,0.25429,0.08582,2016
Malawi,132,4.156,0.08709,0.29364,0.4143,0.07564,2016
Sudan,133,4.139,0.63069,0.29759,0,0.10039,2016
Gabon,134,4.121,1.15851,0.3494,0.28098,0.09314,2016
Mali,135,4.073,0.31292,0.16347,0.27544,0.13647,2016
Haiti,136,4.028,0.34097,0.27494,0.12072,0.14476,2016
Botswana,137,3.974,1.09426,0.34752,0.44089,0.10769,2016
Comoros,138,3.956,0.27509,0.29981,0.15412,0.18437,2016
Ivory Coast,139,3.916,0.55507,0.04476,0.40663,0.1553,2016
Cambodia,140,3.907,0.55604,0.42494,0.58852,0.08092,2016
Angola,141,3.866,0.84731,0.04991,0.00589,0.08434,2016
Niger,142,3.856,0.1327,0.26162,0.38041,0.17176,2016
South Sudan,143,3.832,0.39394,0.15781,0.19662,0.13015,2016
Chad,144,3.763,0.42214,0.03824,0.12807,0.04952,2016
Burkina Faso,145,3.739,0.31995,0.21297,0.3337,0.12533,2016
Uganda,145,3.739,0.34719,0.19625,0.43653,0.06442,2016
Yemen,147,3.724,0.57939,0.31048,0.2287,0.05892,2016
Madagascar,148,3.695,0.27954,0.37109,0.13684,0.07506,2016
Tanzania,149,3.666,0.47155,0.357,0.3176,0.05099,2016
Liberia,150,3.622,0.10706,0.23165,0.25748,0.04852,2016
Guinea,151,3.607,0.22415,0.18829,0.30953,0.1192,2016
Rwanda,152,3.515,0.32846,0.31865,0.5432,0.50521,2016
Benin,153,3.484,0.39499,0.21028,0.39747,0.06681,2016
Afghanistan,154,3.36,0.38227,0.17344,0.1643,0.07112,2016
Togo,155,3.303,0.28123,0.24811,0.34678,0.11587,2016
Syria,156,3.069,0.74719,0.62994,0.06912,0.17233,2016
Burundi,157,2.905,0.06831,0.15747,0.0432,0.09419,2016
