Country,Happiness Rank,Happiness Score,GDP per Capita,Health (Life Expectancy),Freedom,Trust (Government Corruption),Year
Mexico,25,6.671148908,1.21086216,0.412730008,0.120990433,2.837154865,2017
Singapore,26,6.636723069,1.353814363,0.549840569,0.345965981,1.216362,2017
Malta,27,6.598396773,1.488411665,0.588767052,0.574730575,1.556862831,2017
Uruguay,28,6.545906218,1.412227869,0.579392254,0.175096929,2.172409534,2017
Guatemala,29,6.566873973,1.255585194,0.531310618,0.283488393,2.893891096,2017
Panama,30,6.557130716,1.373192549,0.550026834,0.210556939,2.307199955,2017
France,31,6.515767802,1.387776852,0.470222116,0.129762307,2.005954742,2017
Thailand,32,6.509116856,1.425792456,0.580200732,0.57212311,2.039508343,2017
Taiwan Province of China,33,6.494596022,1.384565353,0.361466587,0.258360475,2.126607418,2017
Spain,34,6.471054845,1.532090902,0.40878123,0.190133572,1.92775774,2017
Qatar,35,6.568476814,1.27429688,0.604130983,0.33047387,1.14546442,2017
Colombia,36,6.452020054,1.402182937,0.477487415,0.149014473,2.616068125,2017
Saudi Arabia,37,6.444166612,1.286677599,0.449750572,0.147616014,2.065429688,2017
Trinidad and Tobago,38,6.381533891,1.380228519,0.518630743,0.325296462,2.053247452,2017
Kuwait,39,6.191956989,1.259698749,0.496337593,0.228289798,1.640425205,2017
Slovakia,40,6.177348412,1.505059242,0.295817465,0.136544481,2.097776651,2017
Bahrain,41,6.178989068,1.323110461,0.536746919,0.172668487,1.656149387,2017
Malaysia,42,6.179979637,1.284646034,0.402264982,0.41660893,2.004448891,2017
Nicaragua,43,6.1865836,1.28721571,0.447551847,0.301674217,2.513930559,2017
Ecuador,44,6.105847675,1.286168814,0.455198199,0.150112465,2.290352583,2017
El Salvador,45,6.108635122,1.182125092,0.43245253,0.078257985,2.714593887,2017
Poland,46,6.053908341,1.44571197,0.520342112,0.158465967,1.797722816,2017
Uzbekistan,47,6.065537573,1.54896915,0.658248663,0.415983647,1.816913605,2017
Italy,48,6.042736906,1.444923282,0.256450713,0.172789648,1.813312054,2017
Russia,49,6.030274907,1.469282389,0.373783112,0.052263822,2.205607414,2017
Belize,50,6.197242318,1.081417799,0.547509372,0.240015641,2.631955624,2017
Japan,51,5.990719445,1.436337829,0.505625546,0.120572768,1.363223553,2017
Lithuania,52,5.982669641,1.473516107,0.234231785,0.010164657,2.228440523,2017
Algeria,53,5.978286434,1.146217465,0.233335808,0.069436647,2.567603827,2017
Latvia,54,5.920263538,1.404714942,0.325707912,0.153074786,1.993655205,2017
South Korea,55,5.922559028,1.128274441,0.257921666,0.206674367,1.880378008,2017
Moldova,56,5.908370838,1.251825571,0.240729049,0.208779126,2.807808399,2017
Romania,57,5.919694157,1.15009129,0.457003742,0.133519918,2.176831484,2017
Bolivia,58,5.903976903,1.227619052,0.558732927,0.225560725,2.443279028,2017
Turkmenistan,59,5.885180876,1.493149161,0.418271929,0.249924988,1.832909822,2017
Kazakhstan,60,5.903641775,1.384369016,0.437454283,0.201964423,1.784892559,2017
North Cyprus,61,5.897366465,1.186303377,0.471203625,0.266845703,1.549157619,2017
Slovenia,62,5.84222516,1.452518821,0.572575808,0.242649093,1.313317299,2017
Peru,63,5.811946779,1.218770385,0.450002879,0.126819715,2.20726943,2017
Mauritius,64,5.729862192,1.20956099,0.491247326,0.360933751,1.697583914,2017
Cyprus,65,5.714692699,1.131363273,0.355111539,0.271254301,1.621249199,2017
Estonia,66,5.688139874,1.4766711,0.47913143,0.098890811,1.357508659,2017
Belarus,67,5.646114244,1.444945216,0.295400262,0.155137509,1.723232985,2017
Libya,68,5.676953807,1.35756433,0.46573323,0.152073666,1.835011244,2017
Turkey,69,5.594864963,1.337753177,0.3007406,0.046693042,1.879277945,2017
Paraguay,70,5.57738127,1.50728488,0.473507792,0.224150658,1.68533349,2017
"Hong Kong S.A.R., China",71,5.549594173,1.262790918,0.490968645,0.374465793,0.554633141,2017
Philippines,72,5.545335054,1.253917575,0.585214674,0.193513423,1.972604752,2017
Serbia,73,5.491569656,1.258189797,0.208715528,0.220125884,1.947084427,2017
Jordan,74,5.448410022,1.239088893,0.418421149,0.17217046,1.791176558,2017
Hungary,75,5.403039709,1.343133092,0.175863519,0.078401662,1.716459274,2017
Jamaica,76,5.581398728,1.368218064,0.474307239,0.233818337,1.612325668,2017
Croatia,77,5.391777205,0.967983007,0.255772293,0.248002976,1.854492426,2017
Kosovo,78,5.364847995,1.137853503,0.260287941,0.319931448,2.010540724,2017
China,79,5.31927809,1.160837412,0.472787708,0.028806841,1.764938593,2017
Pakistan,80,5.359983641,0.67269069,0.235215262,0.315446019,2.79248929,2017
Indonesia,81,5.352888598,1.274444699,0.443323463,0.611704588,1.429476976,2017
Venezuela,82,5.370031946,1.431337595,0.153997123,0.06501963,1.789463758,2017
Montenegro,83,5.341044441,1.238376498,0.194989055,0.197911024,1.729191542,2017
Morocco,84,5.318340965,0.774864435,0.408158332,0.032209955,2.456189394,2017
Azerbaijan,85,5.299286535,1.152400255,0.398155838,0.04526934,1.762481689,2017
Dominican Republic,86,5.349060885,1.402416706,0.552589834,0.18696785,1.31946516,2017
Greece,87,5.325246169,1.239414573,0.095731251,0,1.749221563,2017
Lebanon,88,5.318882288,1.129624248,0.288515985,0.264450759,1.695073843,2017
Portugal,89,5.285041733,1.367043018,0.4984653,0.095102713,1.107682705,2017
Bosnia and Herzegovina,90,5.276335687,1.069335938,0.204403177,0.328867495,1.892172575,2017
Honduras,91,5.301582797,1.143944979,0.34807986,0.236188874,2.065811157,2017
Macedonia,92,5.27217264,1.207893014,0.325905979,0.253760964,1.617469311,2017
Somalia,93,5.24248371,0.721151352,0.602126956,0.291631311,3.11748457,2017
Vietnam,94,5.147280765,1.277491331,0.571055591,0.234968051,1.462318659,2017
Nigeria,95,5.209500135,1.215770483,0.394952565,0.230947196,2.365390539,2017
Tajikistan,96,5.111425596,1.271463275,0.471566707,0.248997644,1.84904933,2017
Bhutan,97,5.079334562,1.340126514,0.501537681,0.474054545,1.140184402,2017
Kyrgyzstan,98,5.089919903,1.394238591,0.454943389,0.428580374,1.536723137,2017
Nepal,99,5.067356079,1.179283261,0.440305948,0.394096166,1.891241074,2017
Mongolia,100,5.021679509,1.493011236,0.394143969,0.33846423,1.111292362,2017
South Africa,101,4.929435188,1.384788632,0.479246736,0.13936238,1.510908604,2017
Tunisia,102,4.884367007,0.86835146,0.28968069,0.049693357,1.89025116,2017
Palestinian Territories,103,4.881848343,1.155647159,0.254711062,0.114173174,1.878890276,2017
Egypt,104,4.82513379,0.997471392,0.282110155,0.128631443,1.702161074,2017
Bulgaria,105,4.803694706,1.434379458,0.289231718,0.113177694,0.996139288,2017
Sierra Leone,106,4.850643335,0.984136045,0.318697691,0.293040901,2.668459892,2017
Cameroon,107,4.796540857,0.946018219,0.430388749,0.236298457,2.333645582,2017
Iran,108,4.798224708,0.711551249,0.249322608,0.387242913,1.498734951,2017
Albania,109,4.752464006,0.803685248,0.381498635,0.201312944,1.490441561,2017
Bangladesh,110,4.689821658,0.735131741,0.478356659,0.172255352,1.978736162,2017
Namibia,111,4.770354741,1.098470807,0.520303547,0.077133745,1.481890202,2017
Kenya,112,4.655691591,1.067950726,0.452763766,0.444860309,1.651902199,2017
Mozambique,113,4.774102326,0.870701015,0.480791092,0.322228104,2.355650902,2017
Myanmar,114,4.614739946,1.123235941,0.514492035,0.838075161,1.115290403,2017
Senegal,115,4.601603781,1.179691911,0.377922267,0.183468893,1.789646149,2017
Zambia,116,4.644105501,1.003187299,0.461603492,0.249580145,1.826705456,2017
Iraq,117,4.62259141,0.978613198,0.288555533,0.199637264,1.318907261,2017
Gabon,118,4.557361766,1.155620217,0.312328577,0.043785378,1.322916269,2017
Ethiopia,119,4.542728677,0.864669204,0.408842742,0.31265074,2.015743732,2017
Sri Lanka,120,4.553447192,1.259976387,0.561213255,0.490863562,0.419389248,2017
Armenia,121,4.466734612,1.007483721,0.198303267,0.083488092,1.521499157,2017
India,122,4.371522017,0.754372597,0.469987005,0.231538489,1.519117117,2017
Mauritania,123,4.377163616,1.27203083,0.096098043,0.201870024,1.651637316,2017
Congo (Brazzaville),124,4.410053505,0.832044363,0.435025871,0.120852128,1.724135637,2017
Georgia,125,4.374933966,0.570614934,0.309410036,0.054008815,1.500137806,2017
Congo (Kinshasa),126,4.357810833,1.229023457,0.235961348,0.246455833,2.224958658,2017
Mali,127,4.269670711,1.281473398,0.306613743,0.183354199,1.668190956,2017
Ivory Coast,128,4.275182563,0.90478003,0.447706193,0.20123747,1.844964266,2017
Cambodia,129,4.278517814,1.006238341,0.633375823,0.385922968,1.042941093,2017
Sudan,130,4.345747165,1.21400857,0.014995855,0.182317451,1.68706584,2017
Ghana,131,4.222707209,0.873664737,0.423026294,0.256923944,1.577867508,2017
Ukraine,132,4.185410105,1.394537568,0.122974776,0.270061463,0.814382315,2017
Uganda,133,4.195799967,1.129827738,0.443185955,0.325766057,1.526362658,2017
Burkina Faso,134,4.124059064,1.043280005,0.324367851,0.250864685,1.727212906,2017
Niger,135,4.11194682,0.993025005,0.363658696,0.228673846,1.873983383,2017
Malawi,136,4.077478817,0.512568831,0.466914654,0.28717047,2.081786156,2017
Chad,137,4.034711524,0.953855872,0.162342027,0.21611385,2.071238041,2017
Zimbabwe,138,3.978699643,1.083095908,0.336384207,0.189143494,1.597970247,2017
Lesotho,139,4.044343975,1.190095186,0.390661299,0.157497272,1.42983532,2017
Angola,140,3.951641935,1.10441196,0,0.09792649,1.614482403,2017
Afghanistan,141,3.873661415,0.581543326,0.10617952,0.311870933,2.150801182,2017
Botswana,142,3.874122666,1.221554995,0.505196333,0.099348448,0.377913713,2017
Benin,143,3.745783551,0.435299844,0.425962776,0.207948461,1.885630965,2017
Madagascar,144,3.714319106,0.913020372,0.189196765,0.20873253,1.584612608,2017
Haiti,145,3.734714798,0.640449822,0.030369857,0.489203781,1.697167635,2017
Yemen,146,3.69275032,0.935382247,0.249463722,0.104125209,1.345600605,2017
South Sudan,147,3.725538586,0.601323128,0.147062436,0.285670817,1.879567385,2017
Liberia,148,3.653756261,0.872117937,0.332881182,0.266549885,1.673285961,2017
Guinea,149,3.584428129,0.791244686,0.348587513,0.264815092,1.552311897,2017
Togo,150,3.594038112,0.43188253,0.380426139,0.196896151,1.837229252,2017
Rwanda,151,3.543030234,0.945707023,0.581843853,0.252756029,0.540061235,2017
Syria,152,3.663668557,0.396102607,0.081539445,0.493663728,1.061573505,2017
Tanzania,153,3.461429755,1.041989803,0.390017778,0.354256362,0.621130466,2017
Burundi,154,3.074690333,0.629793584,0.059900753,0.204435185,1.683024168,2017
Central African Republic,155,2.864884269,0,0.270842046,0.280876487,2.066004753,2017
